candidate_id,requisition_id,job_family,location,source_channel,application_date,gender_group,race_ethnicity_group
C00101,R1917,Engineering,Remote,Agency,2025-07-10,Women,Unknown
C00102,R1452,Operations,Seattle,Referral,2025-06-01,Men,Hispanic/Latino
C00103,R1679,Corporate,Other,Referral,2025-01-18,Women,Hispanic/Latino
C00104,R1048,Operations,Remote,Job board,2025-11-10,Men,Asian
C00105,R1148,Corporate,Remote,Campus,2025-01-06,Women,White
C00106,R1145,Customer,Seattle,Agency,2025-11-10,Women,Hispanic/Latino
C00107,R1801,Customer,Other,Referral,2025-07-12,Men,White
C00108,R1231,Engineering,Remote,Job board,2025-11-26,Women,White
C00109,R1728,Engineering,Remote,Agency,2025-12-18,Men,White
C00110,R1222,Engineering,Other,Referral,2025-03-28,Women,Hispanic/Latino
C00111,R1334,Operations,Remote,Campus,2025-11-04,Women,Two+
C00112,R1549,Customer,Remote,Referral,2025-01-14,Men,White
C00113,R1148,Engineering,Seattle,Referral,2025-02-24,Men,Black
C00114,R1709,Engineering,Other,Referral,2025-01-24,Women,White
C00115,R1912,Engineering,Other,Agency,2025-02-24,Women,Black
C00116,R1771,Engineering,Other,Campus,2025-09-02,Women,Asian
C00117,R1952,Corporate,Seattle,Campus,2025-06-14,Men,White
C00118,R1807,Customer,Seattle,Agency,2025-09-23,Men,White
C00119,R1847,Engineering,Other,Campus,2025-03-29,Men,White
C00120,R1815,Operations,Remote,Campus,2025-09-21,Women,Unknown
C00121,R1510,Operations,Seattle,Referral,2025-09-09,Men,White
C00122,R1950,Customer,Other,Referral,2025-08-05,Men,Asian
C00123,R1513,Operations,Remote,Job board,2025-08-24,Women,White
C00124,R1863,Customer,Other,Campus,2025-03-28,Men,White
C00125,R1906,Operations,Other,Job board,2025-05-17,Women,White
C00126,R1356,Operations,Seattle,Campus,2025-04-07,Women,Unknown
C00127,R1445,Corporate,Seattle,Referral,2025-11-23,Nonbinary/Other,Hispanic/Latino
C00128,R1767,Customer,Seattle,Job board,2025-12-14,Women,Asian
C00129,R1916,Customer,Seattle,Agency,2025-12-31,Men,Hispanic/Latino
C00130,R1419,Operations,Other,Campus,2025-01-06,Women,White
C00131,R1420,Customer,Seattle,Job board,2025-07-20,Men,Unknown
C00132,R1258,Corporate,Remote,Agency,2025-02-01,Women,White
C00133,R1271,Engineering,Seattle,Campus,2025-07-25,Unknown,White
C00134,R1479,Corporate,Other,Job board,2025-08-29,Women,White
C00135,R1436,Operations,Remote,Referral,2025-05-24,Women,White
C00136,R1058,Engineering,Other,Campus,2025-03-13,Men,White
C00137,R1671,Corporate,Remote,Referral,2025-10-24,Women,Hispanic/Latino
C00138,R1684,Corporate,Seattle,Agency,2025-12-21,Women,Asian
C00139,R1503,Operations,Remote,Job board,2025-10-04,Men,White
C00140,R1509,Corporate,Remote,Campus,2025-08-07,Men,Unknown
C00141,R1828,Engineering,Other,Agency,2025-09-06,Men,Asian
C00142,R1290,Customer,Remote,Agency,2025-05-09,Men,White
C00143,R1353,Operations,Other,Agency,2025-03-02,Women,Hispanic/Latino
C00144,R1803,Engineering,Remote,Agency,2025-10-07,Men,White
C00145,R1486,Engineering,Other,Agency,2025-11-12,Women,White
C00146,R1683,Customer,Other,Job board,2025-02-21,Men,White
C00147,R1013,Corporate,Seattle,Campus,2025-10-15,Men,White
C00148,R1509,Engineering,Seattle,Agency,2025-10-22,Men,White
C00149,R1960,Operations,Remote,Agency,2025-10-08,Women,White
C00150,R1223,Engineering,Seattle,Agency,2025-01-10,Women,White
C00151,R1374,Operations,Other,Referral,2025-05-31,Men,White
C00152,R1623,Engineering,Remote,Campus,2025-10-22,Men,White
C00153,R1967,Corporate,Other,Campus,2025-05-30,Women,White
C00154,R1598,Customer,Seattle,Agency,2025-07-18,Men,White
C00155,R1001,Corporate,Remote,Campus,2025-08-05,Women,Two+
C00156,R1144,Operations,Remote,Agency,2025-06-27,Men,White
C00157,R1739,Operations,Remote,Referral,2025-12-13,Women,White
C00158,R1470,Engineering,Other,Campus,2025-02-02,Women,White
C00159,R1505,Corporate,Seattle,Campus,2025-11-20,Men,Asian
C00160,R1891,Customer,Other,Job board,2025-05-14,Nonbinary/Other,Hispanic/Latino
C00161,R1623,Operations,Remote,Referral,2025-06-23,Women,Black
C00162,R1883,Customer,Seattle,Referral,2025-05-12,Women,Hispanic/Latino
C00163,R1187,Customer,Seattle,Campus,2025-05-01,Unknown,Black
C00164,R1779,Customer,Seattle,Referral,2025-03-16,Women,Asian
C00165,R1331,Corporate,Remote,Agency,2025-03-05,Women,White
C00166,R1913,Engineering,Remote,Job board,2025-01-19,Women,White
C00167,R1076,Customer,Remote,Campus,2025-04-30,Men,White
C00168,R1449,Operations,Remote,Agency,2025-07-30,Women,Asian
C00169,R1266,Customer,Seattle,Campus,2025-08-22,Nonbinary/Other,Asian
C00170,R1684,Operations,Other,Agency,2025-05-27,Women,White
C00171,R1947,Operations,Seattle,Agency,2025-05-29,Men,Black
C00172,R1190,Corporate,Remote,Referral,2025-07-29,Women,White
C00173,R1728,Operations,Seattle,Referral,2025-02-14,Men,White
C00174,R1724,Operations,Other,Campus,2025-04-14,Women,White
C00175,R1530,Corporate,Remote,Campus,2025-11-24,Men,White
C00176,R1250,Corporate,Other,Agency,2025-10-23,Men,Asian
C00177,R1715,Operations,Remote,Referral,2025-11-03,Men,White
C00178,R1126,Customer,Remote,Campus,2025-02-26,Women,White
C00179,R1150,Customer,Other,Agency,2025-03-26,Unknown,Asian
C00180,R1617,Engineering,Remote,Referral,2025-07-05,Women,Hispanic/Latino
C00181,R1823,Corporate,Remote,Referral,2025-06-16,Men,Unknown
C00182,R1828,Engineering,Seattle,Campus,2025-12-14,Men,White
C00183,R1532,Engineering,Remote,Job board,2025-01-21,Women,Hispanic/Latino
C00184,R1979,Corporate,Seattle,Agency,2025-10-30,Men,Asian
C00185,R1753,Engineering,Other,Campus,2025-08-21,Men,White
C00186,R1471,Corporate,Other,Agency,2025-08-29,Men,Asian
C00187,R1992,Customer,Seattle,Campus,2025-03-25,Men,Hispanic/Latino
C00188,R1302,Engineering,Seattle,Job board,2025-10-10,Women,White
C00189,R1533,Operations,Other,Job board,2025-08-02,Women,White
C00190,R1840,Engineering,Other,Agency,2025-05-18,Men,White
C00191,R1004,Customer,Other,Referral,2025-09-12,Women,Unknown
C00192,R1294,Corporate,Remote,Campus,2025-07-20,Men,White
C00193,R1511,Customer,Remote,Campus,2025-04-05,Men,White
C00194,R1942,Corporate,Remote,Job board,2025-06-16,Women,White
C00195,R1792,Corporate,Other,Agency,2025-09-22,Men,White
C00196,R1359,Customer,Seattle,Referral,2025-09-26,Women,White
C00197,R1157,Operations,Remote,Agency,2025-07-25,Men,White
C00198,R1909,Customer,Other,Job board,2025-09-26,Women,White
C00199,R1583,Engineering,Other,Agency,2025-01-06,Men,Hispanic/Latino
C00200,R1862,Engineering,Other,Referral,2025-12-09,Women,Black
C00201,R1917,Operations,Other,Job board,2025-07-30,Men,Asian
C00202,R1174,Customer,Remote,Agency,2025-02-01,Men,White
C00203,R1101,Engineering,Remote,Job board,2025-08-19,Men,Asian
C00204,R1044,Customer,Seattle,Job board,2025-05-08,Women,Asian
C00205,R1248,Customer,Other,Job board,2025-07-31,Women,White
C00206,R1177,Operations,Remote,Agency,2025-04-06,Women,Two+
C00207,R1067,Engineering,Remote,Campus,2025-10-11,Women,Black
C00208,R1025,Corporate,Seattle,Job board,2025-12-28,Women,Black
C00209,R1478,Operations,Seattle,Campus,2025-06-30,Women,White
C00210,R1487,Operations,Seattle,Agency,2025-12-12,Women,White
C00211,R1522,Operations,Seattle,Referral,2025-12-14,Men,White
C00212,R1871,Operations,Remote,Job board,2025-12-06,Men,Asian
C00213,R1197,Engineering,Other,Campus,2025-02-15,Women,Asian
C00214,R1930,Customer,Other,Job board,2025-05-22,Women,White
C00215,R1025,Customer,Seattle,Agency,2025-06-30,Nonbinary/Other,Asian
C00216,R1224,Engineering,Remote,Referral,2025-11-08,Women,Black
C00217,R1578,Operations,Other,Agency,2025-09-24,Women,White
C00218,R1621,Engineering,Seattle,Referral,2025-01-20,Men,Black
C00219,R1761,Customer,Other,Job board,2025-05-24,Men,White
C00220,R1643,Customer,Other,Referral,2025-12-13,Men,White
C00221,R1193,Engineering,Other,Campus,2025-03-31,Men,Unknown
C00222,R1060,Operations,Remote,Campus,2025-07-30,Women,White
C00223,R1527,Customer,Seattle,Campus,2025-12-24,Women,Two+
C00224,R1613,Customer,Remote,Job board,2025-02-28,Men,Asian
C00225,R1311,Operations,Seattle,Campus,2025-08-18,Unknown,Black
C00226,R1073,Engineering,Seattle,Agency,2025-09-06,Women,White
C00227,R1008,Corporate,Seattle,Campus,2025-11-18,Men,White
C00228,R1859,Operations,Remote,Campus,2025-04-06,Unknown,White
C00229,R1850,Corporate,Other,Campus,2025-07-14,Women,White
C00230,R1378,Corporate,Seattle,Referral,2025-01-22,Women,White
C00231,R1141,Customer,Other,Agency,2025-02-15,Unknown,White
C00232,R1032,Customer,Seattle,Campus,2025-02-06,Men,White
C00233,R1682,Operations,Other,Job board,2025-07-13,Women,White
C00234,R1438,Operations,Remote,Referral,2025-01-31,Men,White
C00235,R1492,Operations,Remote,Campus,2025-09-29,Men,Asian
C00236,R1226,Corporate,Other,Referral,2025-04-07,Men,Hispanic/Latino
C00237,R1931,Engineering,Remote,Referral,2025-08-14,Women,White
C00238,R1641,Engineering,Remote,Agency,2025-10-06,Women,Unknown
C00239,R1633,Engineering,Remote,Job board,2025-01-25,Women,Asian
C00240,R1636,Operations,Other,Referral,2025-07-01,Women,White
C00241,R1845,Corporate,Seattle,Job board,2025-07-10,Men,White
C00242,R1361,Engineering,Remote,Campus,2025-11-05,Women,Two+
C00243,R1602,Corporate,Other,Campus,2025-08-16,Women,White
C00244,R1819,Engineering,Seattle,Job board,2025-11-14,Men,White
C00245,R1077,Corporate,Remote,Job board,2025-06-09,Men,White
C00246,R1339,Customer,Remote,Campus,2025-06-10,Women,White
C00247,R1623,Engineering,Other,Job board,2025-12-10,Women,White
C00248,R1937,Engineering,Seattle,Agency,2025-11-21,Men,Asian
C00249,R1893,Customer,Remote,Referral,2025-12-27,Women,Hispanic/Latino
C00250,R1828,Operations,Remote,Job board,2025-03-11,Women,Two+
C00251,R1790,Corporate,Seattle,Referral,2025-03-15,Women,Hispanic/Latino
C00252,R1348,Engineering,Seattle,Referral,2025-10-27,Women,White
C00253,R1438,Engineering,Remote,Campus,2025-03-31,Women,Hispanic/Latino
C00254,R1458,Operations,Other,Campus,2025-09-14,Men,Black
C00255,R1081,Engineering,Other,Campus,2025-03-11,Women,Hispanic/Latino
C00256,R1028,Operations,Remote,Campus,2025-01-14,Men,White
C00257,R1815,Engineering,Seattle,Campus,2025-09-11,Unknown,White
C00258,R1366,Corporate,Remote,Campus,2025-10-03,Men,White
C00259,R1464,Corporate,Remote,Campus,2025-03-09,Women,White
C00260,R1154,Operations,Remote,Referral,2025-01-15,Men,Asian
C00261,R1265,Corporate,Other,Job board,2025-04-01,Men,White
C00262,R1248,Customer,Remote,Job board,2025-11-22,Nonbinary/Other,Two+
C00263,R1027,Engineering,Other,Referral,2025-02-03,Men,Two+
C00264,R1967,Operations,Seattle,Campus,2025-01-11,Women,White
C00265,R1658,Corporate,Remote,Agency,2025-04-21,Unknown,White
C00266,R1977,Operations,Remote,Campus,2025-02-15,Women,White
C00267,R1611,Customer,Seattle,Referral,2025-04-18,Men,White
C00268,R1884,Operations,Remote,Referral,2025-02-27,Women,Two+
C00269,R1699,Customer,Seattle,Agency,2025-06-23,Men,White
C00270,R1599,Operations,Seattle,Referral,2025-01-20,Women,White
C00271,R1049,Corporate,Seattle,Referral,2025-03-03,Unknown,Unknown
C00272,R1151,Engineering,Other,Campus,2025-09-12,Unknown,Asian
C00273,R1229,Engineering,Remote,Job board,2025-01-08,Women,Asian
C00274,R1429,Customer,Seattle,Agency,2025-07-17,Men,White
C00275,R1625,Customer,Seattle,Job board,2025-12-06,Women,White
C00276,R1571,Corporate,Other,Agency,2025-10-09,Men,White
C00277,R1481,Corporate,Other,Agency,2025-05-01,Men,White
C00278,R1073,Operations,Other,Campus,2025-05-15,Nonbinary/Other,White
C00279,R1226,Operations,Seattle,Campus,2025-09-26,Women,Black
C00280,R1876,Engineering,Remote,Agency,2025-07-05,Men,White
C00281,R1373,Corporate,Other,Campus,2025-08-20,Men,Hispanic/Latino
C00282,R1777,Operations,Seattle,Job board,2025-07-07,Men,White
C00283,R1258,Engineering,Other,Job board,2025-01-01,Men,Asian
C00284,R1261,Operations,Remote,Agency,2025-02-16,Men,White
C00285,R1297,Corporate,Seattle,Agency,2025-07-12,Women,White
C00286,R1830,Corporate,Remote,Job board,2025-07-17,Men,Asian
C00287,R1594,Corporate,Seattle,Job board,2025-06-18,Men,Asian
C00288,R1958,Engineering,Seattle,Agency,2025-08-25,Men,White
C00289,R1844,Engineering,Other,Job board,2025-04-13,Men,Asian
C00290,R1788,Customer,Seattle,Referral,2025-04-24,Men,White
C00291,R1220,Customer,Seattle,Job board,2025-12-31,Women,White
C00292,R1143,Customer,Seattle,Job board,2025-06-14,Women,White
C00293,R1088,Corporate,Remote,Campus,2025-12-06,Men,White
C00294,R1446,Corporate,Remote,Job board,2025-03-09,Women,White
C00295,R1679,Engineering,Other,Campus,2025-01-05,Men,White
C00296,R1214,Customer,Remote,Agency,2025-04-15,Men,Asian
C00297,R1901,Engineering,Other,Agency,2025-04-03,Women,White
C00298,R1216,Operations,Seattle,Job board,2025-09-22,Women,Asian
C00299,R1674,Corporate,Other,Agency,2025-12-18,Men,White
C00300,R1457,Corporate,Seattle,Campus,2025-12-28,Men,Asian
C00301,R1155,Operations,Remote,Referral,2025-06-17,Women,White
C00302,R1152,Operations,Remote,Campus,2025-12-14,Men,Asian
C00303,R1297,Customer,Remote,Referral,2025-09-12,Men,Two+
C00304,R1553,Engineering,Seattle,Job board,2025-08-29,Women,Two+
C00305,R1033,Engineering,Seattle,Campus,2025-04-10,Unknown,White
C00306,R1609,Customer,Remote,Referral,2025-01-18,Women,White
C00307,R1857,Corporate,Seattle,Campus,2025-12-06,Men,White
C00308,R1152,Corporate,Seattle,Referral,2025-05-03,Women,White
C00309,R1167,Engineering,Other,Campus,2025-07-07,Unknown,Hispanic/Latino
C00310,R1744,Operations,Seattle,Referral,2025-02-24,Unknown,White
C00311,R1234,Engineering,Seattle,Job board,2025-05-16,Unknown,White
C00312,R1123,Engineering,Other,Job board,2025-04-30,Women,White
C00313,R1074,Corporate,Seattle,Referral,2025-04-21,Men,White
C00314,R1472,Operations,Seattle,Campus,2025-07-30,Men,Asian
C00315,R1171,Operations,Remote,Job board,2025-04-15,Women,Black
C00316,R1810,Customer,Seattle,Agency,2025-09-27,Men,Two+
C00317,R1265,Corporate,Seattle,Agency,2025-12-15,Men,White
C00318,R1306,Engineering,Seattle,Campus,2025-04-29,Women,White
C00319,R1955,Engineering,Remote,Agency,2025-11-17,Men,Unknown
C00320,R1688,Corporate,Other,Agency,2025-06-06,Women,White
C00321,R1428,Customer,Other,Campus,2025-08-23,Women,White
C00322,R1384,Operations,Remote,Campus,2025-06-20,Unknown,White
C00323,R1400,Engineering,Seattle,Job board,2025-02-23,Unknown,White
C00324,R1103,Customer,Seattle,Campus,2025-12-08,Men,White
C00325,R1312,Customer,Other,Referral,2025-12-02,Men,White
C00326,R1699,Engineering,Other,Agency,2025-08-18,Women,White
C00327,R1147,Operations,Other,Referral,2025-07-20,Women,White
C00328,R1557,Engineering,Remote,Agency,2025-11-29,Women,Unknown
C00329,R1368,Corporate,Remote,Job board,2025-10-22,Men,Asian
C00330,R1826,Engineering,Seattle,Campus,2025-09-24,Women,Hispanic/Latino
C00331,R1403,Corporate,Remote,Agency,2025-05-17,Women,Two+
C00332,R1163,Corporate,Seattle,Job board,2025-05-23,Men,White
C00333,R1281,Customer,Remote,Agency,2025-09-29,Men,White
C00334,R1362,Corporate,Remote,Job board,2025-02-05,Men,Asian
C00335,R1728,Engineering,Remote,Job board,2025-11-27,Women,White
C00336,R1861,Corporate,Remote,Agency,2025-09-13,Men,White
C00337,R1533,Customer,Other,Campus,2025-03-10,Women,White
C00338,R1865,Operations,Seattle,Job board,2025-12-10,Men,Hispanic/Latino
C00339,R1662,Customer,Other,Campus,2025-12-31,Women,White
C00340,R1582,Engineering,Remote,Referral,2025-12-25,Men,Asian
C00341,R1142,Customer,Remote,Referral,2025-08-17,Men,White
C00342,R1582,Operations,Seattle,Job board,2025-05-25,Men,White
C00343,R1029,Corporate,Remote,Campus,2025-02-02,Unknown,Hispanic/Latino
C00344,R1823,Corporate,Other,Campus,2025-12-03,Unknown,Asian
C00345,R1699,Customer,Seattle,Campus,2025-11-12,Women,White
C00346,R1528,Engineering,Remote,Job board,2025-12-27,Men,White
C00347,R1303,Engineering,Other,Referral,2025-02-02,Women,White
C00348,R1550,Corporate,Other,Campus,2025-11-18,Women,White
C00349,R1791,Engineering,Remote,Referral,2025-03-20,Women,Two+
C00350,R1870,Engineering,Other,Campus,2025-09-18,Women,White
C00351,R1996,Engineering,Remote,Referral,2025-04-15,Men,White
C00352,R1967,Operations,Remote,Agency,2025-10-20,Men,White
C00353,R1736,Engineering,Remote,Job board,2025-07-24,Men,White
C00354,R1064,Operations,Seattle,Referral,2025-07-20,Men,White
C00355,R1821,Engineering,Seattle,Agency,2025-01-25,Men,Unknown
C00356,R1098,Operations,Seattle,Job board,2025-11-12,Men,Asian
C00357,R1002,Engineering,Seattle,Referral,2025-09-15,Men,White
C00358,R1677,Corporate,Remote,Agency,2025-12-10,Women,White
C00359,R1468,Operations,Seattle,Job board,2025-12-10,Men,Asian
C00360,R1089,Operations,Seattle,Referral,2025-07-08,Women,Hispanic/Latino
C00361,R1342,Operations,Seattle,Referral,2025-02-08,Women,White
C00362,R1934,Engineering,Seattle,Referral,2025-12-10,Men,White
C00363,R1137,Corporate,Remote,Campus,2025-01-15,Women,Asian
C00364,R1954,Customer,Other,Campus,2025-05-21,Men,Asian
C00365,R1911,Corporate,Seattle,Job board,2025-02-23,Women,White
C00366,R1988,Customer,Seattle,Job board,2025-09-29,Women,White
C00367,R1531,Engineering,Other,Job board,2025-04-22,Women,Two+
C00368,R1970,Operations,Other,Agency,2025-11-11,Men,White
C00369,R1887,Operations,Other,Campus,2025-11-13,Unknown,White
C00370,R1711,Customer,Remote,Referral,2025-02-02,Men,White
C00371,R1739,Customer,Other,Campus,2025-08-19,Women,Asian
C00372,R1455,Engineering,Remote,Campus,2025-06-15,Men,Asian
C00373,R1822,Corporate,Other,Campus,2025-05-23,Men,White
C00374,R1677,Corporate,Other,Campus,2025-04-03,Women,White
C00375,R1583,Operations,Seattle,Referral,2025-06-01,Women,White
C00376,R1375,Operations,Other,Referral,2025-05-08,Nonbinary/Other,Black
C00377,R1393,Corporate,Seattle,Agency,2025-05-15,Men,Asian
C00378,R1030,Customer,Remote,Agency,2025-03-01,Women,White
C00379,R1945,Operations,Seattle,Agency,2025-08-14,Women,Black
C00380,R1112,Engineering,Remote,Referral,2025-05-03,Men,White
C00381,R1748,Operations,Seattle,Agency,2025-11-20,Women,Black
C00382,R1493,Corporate,Seattle,Referral,2025-11-18,Men,White
C00383,R1550,Operations,Remote,Job board,2025-11-30,Women,White
C00384,R1222,Engineering,Remote,Agency,2025-03-13,Men,Hispanic/Latino
C00385,R1695,Operations,Seattle,Campus,2025-09-05,Women,White
C00386,R1217,Operations,Seattle,Agency,2025-04-14,Women,White
C00387,R1032,Customer,Seattle,Campus,2025-07-31,Men,Asian
C00388,R1000,Operations,Other,Campus,2025-11-07,Men,White
C00389,R1138,Corporate,Seattle,Job board,2025-04-30,Men,Asian
C00390,R1979,Corporate,Other,Agency,2025-02-18,Women,Two+
C00391,R1771,Operations,Seattle,Agency,2025-02-07,Men,White
C00392,R1119,Customer,Seattle,Agency,2025-12-03,Men,White
C00393,R1446,Engineering,Other,Campus,2025-10-20,Women,White
C00394,R1942,Engineering,Remote,Agency,2025-06-24,Men,White
C00395,R1804,Operations,Remote,Referral,2025-04-17,Men,White
C00396,R1368,Customer,Other,Agency,2025-07-06,Women,Black
C00397,R1661,Engineering,Remote,Agency,2025-06-20,Men,White
C00398,R1709,Engineering,Other,Job board,2025-07-21,Women,Unknown
C00399,R1649,Operations,Other,Job board,2025-07-09,Men,Hispanic/Latino
C00400,R1870,Engineering,Seattle,Referral,2025-11-01,Men,White
C00401,R1177,Operations,Seattle,Campus,2025-12-31,Men,Hispanic/Latino
C00402,R1053,Corporate,Seattle,Campus,2025-06-24,Men,Asian
C00403,R1769,Operations,Other,Agency,2025-07-17,Women,Asian
C00404,R1067,Operations,Seattle,Agency,2025-08-28,Men,Hispanic/Latino
C00405,R1297,Operations,Other,Agency,2025-11-11,Women,Black
