full_name,county,state,state_abr,population_19,unemp_19%,nohealth_ins%,poverty_rate%,SNAP_recieved%,no_homecomp%,no_homeinternet%,home_havebroad%,broadProviders_num,broad_avail,broad_cost,population_bbn,Lowestpricepermonth_bbn,wired_bbn,provide_bbn,all25_bbn,downave_bbn,access_bbn,slowfrac_bbn
"Shelby County, Alabama",Shelby,Alabama,AL,217702,2.2,6.8,8.4,5.4,6.7,13.4,86.4,5,65.1,62.31,203220,35,6.088519831,11.377143,7.942928846,87.9222483,98.99448873,0.247180396
"Sumter County, Alabama",Sumter,Alabama,AL,12427,4.5,15.5,31.3,29.6,29.2,41.7,57.9,3,56.5,74.99,10513,55,3,11,3.296299819,27.31656425,55.56653667,0.479882051
"Talladega County, Alabama",Talladega,Alabama,AL,79978,3.4,9.3,19.9,17.4,19,29.8,69.8,2,0.2,60,78498,35,7.152730006,14.31223725,7.76363729,52.54611506,83.65906138,0.227508981
"Tallapoosa County, Alabama",Tallapoosa,Alabama,AL,40367,3,8.1,20.3,20.1,20.2,29.8,70,5,56.2,69.99,36549,35,5.64617363,11.90142001,5.531259405,45.78112288,90.55495362,0.204218994
"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,AL,209355,2.7,7.5,17.4,10,13.5,21.8,78,4,60.1,69.99,195466,35,6.153407754,11.17263872,8.150368862,68.66183884,96.94321775,0.49459241
"Walker County, Alabama",Walker,Alabama,AL,63521,3.3,11,19.7,16.2,20,31.4,68,7,87.4,74.99,66055,35,4.360305806,11.27813186,5.8159564,57.79781379,86.47359019,0.365286504
"Washington County, Alabama",Washington,Alabama,AL,16326,4.6,9.6,21,16.3,24,40.6,58.3,10,93.6,70.5,15455,55,2.434228405,6.914914267,3.781041734,9.971181495,39.37813005,1
"Wilcox County, Alabama",Wilcox,Alabama,AL,10373,7.1,11.6,31.1,24.5,37.6,49.2,49.2,9,99,67.5,10379,69.99,3.316408132,8.358416032,3.195683592,42.332322,47.68416996,0.536178823
"Winston County, Alabama",Winston,Alabama,AL,23629,3.3,12.3,16.2,14.2,24.3,36.7,62.2,5,37.6,58.31,25195,49.95,3.01246279,8.730859297,4.835800754,16.77618575,69.44234967,0.464774757
"Aleutians East Borough, Alaska",Aleutians East,Alaska,AK,3337,2.8,45.6,15.4,12.9,13.5,32.7,67.3,6,79.3,67.5,3103,,0.669029971,2.051563004,0,3.228343539,0,1
"Aleutians West Census Area, Alaska",Aleutians West,Alaska,AK,5634,3.6,18.8,8.5,6,7.3,24,75.7,3,56.7,65,5344,,1.670284431,3.519648204,0,3.037120135,0,1
"Anchorage Municipality, Alaska",Anchorage,Alaska,AK,288000,5.1,12.2,9.2,8.7,4.6,11,88.7,9,97.2,63.33,291516,74.99,2.26418104,8.512959838,5.476344352,69.84062816,99.75051798,0.366569931
"Bethel Census Area, Alaska",Bethel,Alaska,AK,18386,12.9,20.7,27.8,39.4,14.1,27.7,72.3,9,93.4,67.5,15013,,1.470858589,4.994404849,0.04835809,3.395047625,0,1
"Bristol Bay Borough, Alaska",Bristol Bay,Alaska,AK,836,6.1,19.8,5.8,5.7,7.5,16.8,81.4,1,13.5,65,978,,1,2.443762781,0.443762781,6.200817996,0,1
"Denali Borough, Alaska",Denali,Alaska,AK,2097,8.5,19.2,16.9,5.6,5.2,11.4,88.6,2,67.6,65.49,1854,57.99,2.576591154,8.846817691,2.729773463,11.68487055,23.95523193,0.423408846
"Dillingham Census Area, Alaska",Dillingham,Alaska,AK,4916,8.1,22.4,17.2,26.4,13.3,23.6,76.3,9,97.5,69,4668,,1.782133676,4.672879177,0,2.40353042,0,1
"Fairbanks North Star Borough, Alaska",Fairbanks North Star,Alaska,AK,96849,5.4,10,8.1,6.9,5,14.5,84.8,3,13.3,60,96222,74.99,2.131103074,8.247698032,2.275207333,52.82596901,90.67506391,0.258038702
"Haines Borough, Alaska",Haines,Alaska,AK,2530,8.9,15.5,9,7.7,4.2,10.9,87.4,5,84.7,59.98,2602,299.95,1,8,3,5.6,93,1
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon,Alaska,AK,2148,11.4,25.1,9.7,14,15.9,29.7,70.3,9,95.3,71.87,1831,74.99,0.503003823,5.337520481,2.26160568,21.62966139,24.8525396,0.73839432
"Juneau City and Borough, Alaska",Juneau,Alaska,AK,31974,4.4,11.1,7.9,8.2,5,10.9,88.8,8,95.4,70,29164,74.99,3,10,6,94.95,99,0
"Kenai Peninsula Borough, Alaska",Kenai Peninsula,Alaska,AK,58708,6.8,17.2,12,9.6,9.9,21.5,77.1,1,62.9,60,55025,74.99,1.84056338,7.762944116,5.242980463,24.05805016,98.41661063,0.46727851
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway,Alaska,AK,13901,6.2,13.2,10.5,14.8,8.3,16.2,83.6,6,97.2,68.98,13508,74.95,3,8,4,44.61,99,0
"Kodiak Island Borough, Alaska",Kodiak Island,Alaska,AK,12998,5.6,20.3,9.3,9.2,10.7,17.5,82.5,7,90.9,68.24,13186,74.99,1.97140907,4.972698316,1.956468982,53.99991658,89.99757318,0.021765509
"Kusilvak Census Area, Alaska",Kusilvak,Alaska,AK,8314,19.3,21.1,40.5,59.9,20,37.5,62.5,0,0,,6465,,0,3,0,1.70820727,0,1
"Lake and Peninsula Borough, Alaska",Lake and Peninsula,Alaska,AK,1592,9.9,31.6,15.9,24,17.2,38.6,61.2,3,34.2,69.99,1155,,0.468398268,2.468398268,1,2.570337662,0,1
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna,Alaska,AK,108317,6.9,15.2,10.3,10.3,5.8,13.2,86.2,6,55.4,67.46,80334,74.99,2.962780392,7.961510693,4.944805437,29.69397142,97.21457913,0.037219608
"Nome Census Area, Alaska",Nome,Alaska,AK,10004,10.9,22.5,23.1,31.8,11.3,28,72,5,51,76.22,7413,155,1.544718737,3.363010927,0.544718737,2.982679077,45.2116552,1
"North Slope Borough, Alaska",North Slope,Alaska,AK,9832,6.4,20.8,9.3,17.4,15.5,31.9,67.7,5,91.2,67.5,8507,,2.295991536,3.979076055,0,5.445557776,0,1
"Northwest Arctic Borough, Alaska",Northwest Arctic,Alaska,AK,7621,14,27.6,25.1,34.5,17.8,29.9,70.1,6,96.3,67.5,6736,,2.054928741,3.88628266,0.831353919,3.582439133,0,1
"Petersburg Borough, Alaska",Petersburg,Alaska,AK,3266,8.7,9.1,8.2,11.1,9.3,21.7,78.1,10,80.5,69.99,3763,74.99,1.701833643,6.403667287,2.701833643,32.36025512,82.5389317,0.149083178
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder,Alaska,AK,6203,10.1,25.9,15.2,17.6,14.5,33.1,66.8,3,49.1,60,5432,,1.117083947,5.813512518,1.558910162,6.0340243,0,1
"Sitka City and Borough, Alaska",Sitka,Alaska,AK,8493,4.2,18.3,7.5,8.3,7.5,16.6,83,8,76,65,8880,74.99,2,5,3,51.69,98,0
"Skagway Municipality, Alaska",Skagway,Alaska,AK,1183,9.2,18.9,5.3,2.8,3.8,14.5,85.5,6,91.8,67.5,968,299.95,1,6,3,4.95,98,1
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks,Alaska,AK,6893,9,15.6,10.8,8.8,10.4,27.7,71.8,6,92.5,66.56,6559,74.99,4.28800122,11.57600244,6.579966458,6.990038116,47.00945266,1
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova,Alaska,AK,9202,7.5,15.7,8.1,4.6,8.7,20.7,79.1,5,76.8,67.19,9493,74.99,2.628989782,8.174022964,3.576214052,17.04681871,85.41567471,0.578110186
"Wrangell City and Borough, Alaska",Wrangell,Alaska,AK,2502,7.7,15,7.8,13.8,17.3,27.9,71.7,5,52.8,72.98,2338,74.99,2,6,2,27.59,91,0
"Yakutat City and Borough, Alaska",Yakutat,Alaska,AK,579,7.7,20.5,6.7,8.6,9.5,28.9,69.8,3,46.5,60,662,,0,1,1,1.79,0,1
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk,Alaska,AK,5230,14,29.2,25.1,31.8,33.5,56,43.7,6,63.5,60.18,2743,,1.132701422,3.059788553,0.405395552,5.514243529,0,1
"Apache County, Arizona",Apache,Arizona,AZ,71887,9.9,23.5,35.3,25.6,45,61,38,3,15.3,50,64417,90.95,1.037862676,6.806681466,2.075725352,11.8573982,1.13588028,1
"Cochise County, Arizona",Cochise,Arizona,AZ,125922,5.7,8.2,17.2,16.2,13.2,21.2,78.2,3,26,63.33,132503,55,2.632612092,10.2255647,4.13801197,61.65426836,70.31461929,0.479777816
"Coconino County, Arizona",Coconino,Arizona,AZ,143476,5.5,12.3,18.9,11.6,11,22.2,77.4,6,79.6,55,119948,40,3.27197619,12.26850802,5.760521226,64.28419699,75.07626638,0.348767799
"Gila County, Arizona",Gila,Arizona,AZ,54018,5.5,11.3,22.5,17.1,19.5,37.9,61.5,9,93.1,72.85,50343,40,2.827721828,8.93335717,3.415171921,46.30290626,77.95240649,0.300359534
"Graham County, Arizona",Graham,Arizona,AZ,38837,4.8,8.5,21.3,17.1,13.2,27.9,71.9,4,78.4,63.65,30125,55,3.038904564,10.99843983,5.912033195,97.68986822,92.66725311,0.140414938
"Greenlee County, Arizona",Greenlee,Arizona,AZ,9498,3.9,7.3,11.9,7.6,10.6,23.6,76.1,1,62.8,77.98,8405,55,2.692088043,8.307911957,3.692088043,42.33341701,58.01225461,0.307911957
"La Paz County, Arizona",La Paz,Arizona,AZ,21108,5.8,14.5,22.1,14.6,23.5,39,60.6,1,6.9,60,18588,40,1.426888315,7.891112546,2.879922531,42.82414676,43.86507424,0.507908328
"Maricopa County, Arizona",Maricopa,Arizona,AZ,4485414,4,11.1,14.7,10.1,8.5,15.6,84.1,3,71,70.24,3827796,24.99,3.819778797,11.87899434,5.923221614,96.14719808,94.38868921,1
"Mohave County, Arizona",Mohave,Arizona,AZ,212181,5.7,10.4,17.5,15.2,14,21.1,78.2,1,54.4,42.5,196955,40,2.316122972,9.607504252,3.149821025,68.98259608,83.24605113,0.289431596
"Navajo County, Arizona",Navajo,Arizona,AZ,110924,7.3,13.5,28.5,23.2,25.2,38.7,60.7,2,77.3,48.31,104468,55,2.109985833,8.311071333,2.622496841,51.98399902,47.29160126,0.612331049
"Pima County, Arizona",Pima,Arizona,AZ,1047279,4.4,9.9,17.8,13.6,9,16.4,83.1,3,67.5,52.5,972195,55,3.719644721,13.13528459,7.831848549,81.50699295,99.3605573,0.95571156
"Pinal County, Arizona",Pinal,Arizona,AZ,462789,4.9,8.8,14.2,11.8,11.1,19.2,80.5,4,53.7,54.99,362307,59.95,4.215068988,14.72628185,7.022812146,53.97958601,90.4674544,0.661425255
"Santa Cruz County, Arizona",Santa Cruz,Arizona,AZ,46498,8.5,11.6,24,27.3,18.7,30.3,69.2,3,84.1,77.98,46580,69.95,1.932696436,11.51361099,6.399484757,33.40857342,97.13246028,0.09544869
"Yavapai County, Arizona",Yavapai,Arizona,AZ,235099,4.4,10.4,14,9.3,10.3,19.3,80.1,4,70.2,62.98,212817,40,4.196967348,13.07988084,8.085265745,60.15104827,99.56584295,0.659881494
"Yuma County, Arizona",Yuma,Arizona,AZ,213787,16.4,13.3,20.1,19,16.4,23.3,76.3,3,45.4,47.5,193161,65,3.668903143,9.668903143,4.628812234,88.27641372,92.97053235,0.133324015
"Arkansas County, Arkansas",Arkansas,Arkansas,AR,17486,3,6.8,20,17.4,21,36.9,62.8,5,88.6,63.71,19024,40,3.23559714,8.484020185,4.904436501,7.742377523,9.703164424,1
"Ashley County, Arkansas",Ashley,Arkansas,AR,19657,5.4,9.2,20.2,19.5,24.2,39.2,60.5,5,86.5,64.16,21618,,2.852067721,7.249236747,3.799056342,25.4135859,59.18512351,0.428809326
"Baxter County, Arkansas",Baxter,Arkansas,AR,41932,4,5.6,14,9.9,16.4,27.8,70.8,2,79.9,65.82,33869,40,5.850748472,10.90049898,7.850748472,60.49212938,80.92547758,0.156751011
"Benton County, Arkansas",Benton,Arkansas,AR,279141,2.6,9.4,9.9,5.7,8.4,34.8,64.8,4,59,69.98,212430,35,7.084672598,14.35618321,9.007743727,76.6995792,97.40416608,0.315247376
"Boone County, Arkansas",Boone,Arkansas,AR,37432,3.2,6.8,14.9,15.4,15.2,21.5,77.7,1,37.4,54.98,35417,40,8.278538555,16.13019172,10.04588192,22.99962532,85.80986532,0.148346839
"Bradley County, Arkansas",Bradley,Arkansas,AR,10763,4.1,11.5,23.2,19.5,22.3,36.6,62.8,3,73,42.5,11449,55,5.541007948,10.54100795,5.027338632,14.994403,65.08778059,0.243165342
"Calhoun County, Arkansas",Calhoun,Arkansas,AR,5189,4.4,8.2,15.6,10.9,25.5,39.6,59.2,3,68.5,42.5,4264,,1.289399625,7.739681051,2.314258912,22.0502439,9.742026266,0.243902439
"Carroll County, Arkansas",Carroll,Arkansas,AR,28380,3.1,12.4,15,8,16.9,33.1,65.7,9,81.6,56.99,27481,65,5.862559587,13.53935446,6.247480077,27.01150176,97.90462501,0.485098796
"Chicot County, Arkansas",Chicot,Arkansas,AR,10118,6.9,8.9,29.2,24.9,27.4,39,60.7,4,27.3,50.49,8946,25,3.575899844,10.15179969,3.575899844,29.39230047,72.2143975,0
"Clark County, Arkansas",Clark,Arkansas,AR,22320,3.8,8.6,19.8,13.1,18.1,32.6,67.2,4,42,77.47,20754,40,7.111882047,13.06239761,7.914811603,60.81543895,91.3060133,0.246554881
"Clay County, Arkansas",Clay,Arkansas,AR,14551,4.9,6.9,22.6,16.8,23.2,36.1,63.6,4,85.7,63.12,15408,25,2.894924714,10.2549974,4.836253894,41.05986501,60.56899013,0.098195742
"Cleburne County, Arkansas",Cleburne,Arkansas,AR,24919,4.5,9.2,14.6,8,17.6,28.5,71.1,4,48.4,63.65,24350,40,6.351457906,14.00644764,5.883203285,35.53761232,100,0.485215606
"Cleveland County, Arkansas",Cleveland,Arkansas,AR,7956,3.9,5.1,19.4,13.9,22.1,43.5,55.4,7,74.5,65.99,7017,122.95,3,9.862761864,4.862761864,28.6070543,86.2954254,0.137238136
"Columbia County, Arkansas",Columbia,Arkansas,AR,23457,4.5,8.2,25.2,18.6,29.1,40.1,59.6,4,65.6,51.18,20841,40,6.125281896,12.23362603,4.616813013,52.91549494,77.24979608,0.191593494
"Conway County, Arkansas",Conway,Arkansas,AR,20846,4.3,7.4,18.2,13.9,22.2,38.9,60.6,5,48.6,43.72,18943,40,3.945204033,10.91780605,5.980784459,17.26485298,99.25249433,0.393021169
"Craighead County, Arkansas",Craighead,Arkansas,AR,110332,2.8,9.3,18.4,13.7,10.8,21,78.9,3,16.5,56.48,91923,35,8.85757645,21.01829792,6.426987805,106.0345162,89.98500919,0.159633606
"Crawford County, Arkansas",Crawford,Arkansas,AR,63257,3.3,8.9,15.9,12.3,16.9,28.6,70.3,2,65.6,69.99,59411,55,7.270269815,14.04209658,7.073639562,53.80345037,89.23320597,0.132904681
"Crittenden County, Arkansas",Crittenden,Arkansas,AR,47955,4.2,9.1,22.2,20.6,20.2,28.1,71.5,5,55.4,89.95,48836,65,3.921410435,10.89669506,3.886825293,61.79003481,82.33200917,0.142026374
"Cross County, Arkansas",Cross,Arkansas,AR,16419,4.2,7.3,16.7,13.7,23.2,33.7,66.1,5,80,56.25,17041,29.95,6.571973476,12.45590048,3.960096238,32.71660818,61.98063494,0.194061381
